File,AvgConfidence
201811121505_00308,7
201811121505_00309,82
201811121505_00310,39
201811121505_00312,19
201811121505_00313,64
201811121505_00314,6
201811121505_00315,23
201811121505_00316,85
201811121505_00317,98
201811121505_00318,89
201811121505_00319,90
201811121505_00320,16
201811121505_00321,53
201811121505_00322,8
201811121505_00323,69
201811121505_00324,75
201811121505_00325,73
201811121505_00326,13
201811121505_00327,79
201811121505_00328,85
201811121505_00329,11
201811121505_00330,62
201811121505_00331,53
201811121505_00332,24
201811121505_00333,91
201811121505_00334,75
201811121505_00335,15
201811121505_00336,66
201811121505_00337,9
201811121505_00338,20
201811121505_00339,82
201811121505_00340,6
201811121505_00341,60
201811121505_00342,24
201811121505_00344,75
201811121505_00345,27
201811121505_00346,85
201811121505_00347,32
201811121505_00348,71
201811121505_00349,88
201811121505_00350,8
201811121505_00351,33
201811121505_00352,8
201811121505_00353,16
201811121505_00354,15
201811121505_00355,70
201811121505_00356,78
201811121505_00357,81
201811121505_00358,32
201811121505_00360,6
201811121505_00361,76
201811121505_00362,76
201811121505_00363,40
201811121505_00364,24
201811121505_00365,25
201811121505_00366,54
201811121505_00367,51
201811121505_00368,24
201811121505_00369,73
201811121505_00371,86
201811121505_00372,71
201811121505_00373,8
201811121505_00374,52
201811121505_00375,27
201811121505_00377,54
201811121505_00378,94
201811121505_00379,9
201811121505_00380,86
201811121505_00381,14
201811121505_00382,90
201811121505_00384,84
201811121505_00385,90
201811121505_00386,14
201811121505_00387,70
201811121505_00388,10
201811121505_00389,14
201811121505_00390,16
201811121505_00391,64
201811121505_00395,67
201811121505_00396,17
201811121505_00397,6
201811121505_00399,27
201811121505_00400,42
201811121505_00401,7
201811121505_00402,69
201811121505_00403,44
201811121505_00404,7
201811121505_00405,5
201811121505_00406,59
201811121505_00407,56
201811121505_00408,18
201811121505_00409,13
201811121505_00410,42
201811121505_00411,6
201811121505_00412,23
201811121505_00413,60
201811121505_00414,97
201811121505_00417,5
201811121505_00418,96
201811121505_00419,14
201811121505_00420,27
201811121505_00421,9
201811121505_00422,68
201811121505_00423,64
201811121505_00424,47
201811121505_00425,6
201811121505_00426,80
201811121505_00427,84
201811121505_00428,72
201811121505_00429,14
201811121505_00432,20
201811121505_00433,94
201811121505_00435,80
201811121505_00436,66
201811121505_00437,71
201811121505_00438,22
201811121505_00439,94
201811121505_00441,8
201811121505_00443,28
201811121505_00445,48
201811121505_00446,41
201811121505_00447,11
201811121505_00449,39
201811121505_00450,15
201811121505_00451,9
201811121505_00452,26
201811121505_00453,6
201811121505_00455,32
201811121505_00456,7
201811121505_00457,66
201811121505_00458,49
201811121505_00460,70
201811121505_00461,57
201811121505_00464,80
201811121505_00466,37
201811121505_00467,62
201811121505_00468,13
201811121505_00469,80
201811121505_00470,77
201811121505_00471,65
201811121505_00472,96
201811121505_00473,21
201811121505_00474,67
201811121505_00475,64
201811121505_00476,72
201811121505_00477,6
201811121505_00479,90
201811121505_00481,60
201811121505_00482,35
201811121505_00483,60
201811121505_00485,78
201811121505_00486,41
201811121505_00487,50
201811121505_00489,89
201811121505_00490,18
201811121505_00491,5
201811121505_00492,79
201811121505_00493,75
201811121505_00494,91
201811121505_00495,86
201811121505_00496,86
201811121505_00497,77
201811121505_00498,91
201811121505_00499,91
201811121505_00500,84
201811121505_00501,60
201811121505_00502,89
201811121505_00503,88
201811121505_00504,93
201811121505_00505,95
201811121505_00506,84
201811121505_00507,51
201811121505_00508,61
201811121505_00509,87
201811121505_00510,95
201811121505_00511,70
201811121505_00512,93
201811121505_00513,82
201811121505_00514,96
201811121505_00515,34
201811121505_00516,31
201811121505_00517,84
201811121505_00518,92
201811121505_00519,96
201811121505_00520,85
201811121505_00521,29
201811121505_00522,87
201811121505_00523,19
201811121505_00524,43
201811121505_00525,79
201811121505_00526,32
201811121505_00527,76
201811121505_00528,9
201811121505_00529,92
201811121505_00530,50
201811121505_00531,91
201811121505_00532,95
201811121505_00533,85
201811121505_00534,84
201811121505_00535,79
201811121505_00536,72
201811121505_00537,80
201811121505_00538,77
201811121505_00539,61
201811121505_00540,97
201811121505_00541,90
201811121505_00542,59
201811121505_00543,80
201811121505_00544,74
201811121505_00545,83
201811121505_00546,80
201811121505_00547,89
201811121505_00548,30
201811121505_00549,82
201811121505_00550,93
201811121505_00551,84
201811121505_00552,6
201811121505_00553,87
201811121505_00554,88
201811121505_00555,85
201811121505_00556,72
201811121505_00557,82
201811121505_00558,97
201811121505_00559,85
201811121505_00560,82
201811121505_00561,72
201811121505_00562,85
201811121505_00563,87
201811121505_00564,21
201811121505_00565,77
201811121505_00566,86
201811121505_00567,88
201811121505_00568,83
201811121505_00569,93
201811121505_00570,90
201811121505_00571,89
201811121505_00572,59
201811121505_00573,69
201811121505_00574,69
201811121505_00575,11
201811121505_00576,94
201811121505_00577,90
201811121505_00578,28
201811121505_00579,86
201811121505_00580,87
201811121505_00581,96
201811121505_00582,95
201811121505_00583,95
201811121505_00584,87
201811121505_00585,81
201811121505_00586,79
201811121505_00587,82
201811121505_00588,38
201811121505_00589,81
201811121505_00590,72
201811121505_00591,93
201811121505_00592,95
201811121505_00593,82
201811121505_00594,92
201811121505_00595,84
201811121505_00596,82
201811121505_00597,63
201811121505_00598,93
201811121505_00599,55
201811121505_00600,72
201811121505_00601,95
201811121505_00602,95
201811121505_00603,56
201811121505_00604,76
201811121505_00605,38
201811121505_00606,80
201811121505_00607,79
201811121505_00608,96
201811121505_00609,80
201811121505_00610,93
201811121505_00611,88
201811121505_00612,80
201811121505_00613,83
201811121505_00614,43
201811121505_00615,82
201811121505_00616,80
201811121505_00617,79
201811121505_00618,54
201811121505_00619,84
201811121505_00620,83
201811121505_00621,69
201811121505_00622,89
201811121505_00623,54
201811121505_00624,86
201811121505_00625,93
201811121505_00626,83
201811121505_00627,86
201811121505_00628,19
201811121505_00629,88
201811121505_00630,73
201811121505_00631,87
201811121505_00632,85
201811121505_00633,92
201811121505_00634,85
201811121505_00635,77
201811121505_00636,80
201811121505_00637,87
201811121505_00638,90
201811121505_00639,57
201811121505_00640,91
201811121505_00641,25
201811121505_00643,52
201811121505_00644,69
201811121505_00645,94
201811121505_00646,97
201811121505_00647,64
201811121505_00648,86
201811121505_00649,53
201811121505_00650,79
201811121505_00651,79
201811121505_00652,31
201811121505_00653,5
201811121505_00654,83
201811121505_00655,88
201811121505_00656,84
201811121505_00657,73
201811121505_00658,68
201811121505_00659,76
201811121505_00660,77
201811121505_00661,88
201811121505_00662,84
201811121505_00663,44
201811121505_00664,87
201811121505_00665,96
201811121505_00666,80
201811121505_00667,88
201811121505_00668,95
201811121505_00669,89
201811121505_00670,90
201811121505_00671,73
201811121505_00672,83
201811121505_00673,89
201811121505_00674,80
201811121505_00675,84
201811121505_00676,86
201811121505_00677,96
201811121505_00678,20
201811121505_00679,92
201811121505_00680,77
201811121505_00681,31
201811121505_00682,88
201811121505_00683,54
201811121505_00684,81
201811121505_00685,90
201811121505_00686,85
201811121505_00687,80
201811121505_00688,64
201811121505_00689,96
201811121505_00690,86
201811121505_00691,90
201811121505_00692,74
201811121505_00693,86
201811121505_00694,85
201811121505_00695,70
201811121505_00696,82
201811121505_00697,81
201811121505_00698,89
201811121505_00699,85
201811121505_00700,77
201811121505_00701,17
201811121505_00702,78
201811121505_00703,77
201811121505_00704,31
201811121505_00705,88
201811121505_00706,18
201811121505_00707,93
201811121505_00708,69
201811121505_00709,75
201811121505_00710,73
201811121505_00711,70
201811121505_00712,82
201811121505_00713,60
201811121505_00714,92
201811121505_00715,91
201811121505_00716,87
201811121505_00717,87
201811121505_00718,30
201811121505_00719,53
201811121505_00720,93
201811121505_00721,29
201811121505_00722,93
201811121505_00723,85
201811121505_00724,47
201811121505_00725,86
201811121505_00726,69
201811121505_00727,83
201811121505_00728,17
201811121505_00729,60
201811121505_00730,77
201811121505_00731,97
201811121505_00732,83
201811121505_00733,18
201811121505_00734,72
201811121505_00735,97
201811121505_00736,93
201811121505_00737,80
201811121505_00738,67
201811121505_00739,72
201811121505_00740,75
201811121505_00741,82
201811121505_00742,93
201811121505_00743,79
201811121505_00744,89
201811121505_00745,66
201811121505_00746,87
201811121505_00747,61
201811121505_00748,92
201811121505_00749,68
201811121505_00750,68
201811121505_00751,79
201811121505_00752,92
201811121505_00753,94
201811121505_00754,83
201811121505_00755,83
201811121505_00756,85
201811121505_00757,46
201811121505_00758,87
201811121505_00759,90
201811121505_00760,80
201811121505_00761,95
201811121505_00762,77
201811121505_00763,85
201811121505_00764,87
201811121505_00765,69
201811121505_00766,81
201811121505_00767,78
201811121505_00768,88
201811121505_00769,74
201811121505_00770,51
201811121505_00771,73
201811121505_00772,89
201811121505_00773,65
201811121505_00774,89
201811121505_00775,85
201811121505_00776,58
201811121505_00777,80
201811121505_00778,80
201811121505_00779,56
201811121505_00780,54
201811121505_00781,82
201811121505_00782,82
201811121505_00783,79
201811121505_00784,47
201811121505_00785,93
201811121505_00786,91
201811121505_00787,78
201811121505_00788,76
201811121505_00789,74
201811121505_00790,80
201811121505_00791,80
201811121505_00792,84
201811121505_00793,74
201811121505_00794,90
201811121505_00795,87
201811121505_00796,93
201811121505_00797,77
201811121505_00798,95
201811121505_00799,55
201811121505_00800,5
201811121505_00801,93
201811121505_00802,61
201811121505_00803,84
201811121505_00804,86
201811121505_00805,39
201811121505_00806,95
201811121505_00807,90
201811121505_00808,85
201811121505_00809,87
201811121505_00810,84
201811121505_00811,80
201811121505_00812,84
201811121505_00813,80
201811121505_00814,91
201811121505_00815,92
201811121505_00816,33
201811121505_00817,74
201811121505_00818,92
201811121505_00819,91
201811121505_00820,21
201811121505_00821,52
201811121505_00822,84
201811121505_00823,92
201811121505_00824,89
201811121505_00825,93
201811121505_00826,88
201811121505_00827,89
201811121505_00828,6
201811121505_00829,93
201811121505_00830,9
201811121505_00831,93
201811121505_00832,85
201811121505_00833,95
201811121505_00834,94
201811121505_00835,72
201811121505_00836,84
201811121505_00837,95
201811121505_00838,74
201811121505_00840,94
201811121505_00841,76
201811121505_00842,87
201811121505_00843,96
201811121505_00844,93
201811121505_00845,53
201811121505_00846,62
201811121505_00847,87
201811121505_00848,78
201811121505_00849,82
201811121505_00850,23
201811121505_00851,86
201811121505_00852,66
201811121505_00853,67
201811121505_00854,81
201811121505_00855,81
201811121505_00856,44
201811121505_00857,88
201811121505_00858,79
201811121505_00859,86
201811121505_00860,57
201811121505_00861,77
201811121505_00862,88
201811121505_00863,58
201811121505_00864,29
201811121505_00865,96
201811121505_00866,87
201811121505_00867,97
201811121505_00868,94
201811121505_00869,22
201811121505_00870,91
201811121505_00871,42
201811121505_00872,92
201811121505_00873,81
201811121505_00874,94
201811121505_00875,90
201811121505_00876,83
201811121505_00877,87
201811121505_00878,77
201811121505_00879,84
201811121505_00880,94
201811121505_00881,70
201811121505_00882,63
201811121505_00883,90
201811121505_00884,89
201811121505_00885,85
201811121505_00886,66
201811121505_00887,75
201811121505_00888,92
201811121505_00889,70
201811121505_00890,55
201811121505_00891,87
201811121505_00892,93
201811121505_00893,87
201811121505_00894,14
201811121505_00895,88
201811121505_00896,83
201811121505_00897,77
201811121505_00898,84
201811121505_00899,93
201811121505_00900,56
201811121505_00901,90
201811121505_00902,85
201811121505_00903,84
201811121505_00904,93
201811121505_00905,86
201811121505_00906,92
201811121505_00907,87
201811121505_00908,89
201811121505_00909,93
201811121505_00910,93
201811121505_00911,82
201811121505_00912,93
201811121505_00913,84
201811121505_00914,85
201811121505_00915,80
201811121505_00916,96
201811121505_00917,76
201811121505_00918,93
201811121505_00919,88
201811121505_00920,95
201811121505_00921,76
201811121505_00922,84
201811121505_00923,93
201811121505_00924,92
201811121505_00925,75
201811121505_00926,76
201811121505_00927,89
201811121505_00928,89
201811121505_00929,82
201811121505_00930,65
201811121505_00931,95
201811121505_00932,90
201811121505_00933,76
201811121505_00934,96
201811121505_00935,62
201811121505_00936,93
201811121505_00937,53
201811121505_00938,74
201811121505_00939,95
201811121505_00940,55
201811121505_00941,95
201811121505_00942,94
201811121505_00943,92
201811121505_00944,86
201811121505_00945,93
201811121505_00946,83
201811121505_00947,96
201811121505_00948,91
201811121505_00949,94
201811121505_00950,82
201811121505_00951,68
201811121505_00952,90
201811121505_00953,89
201811121505_00954,62
201811121505_00955,91
201811121505_00956,98
201811121505_00957,81
201811121505_00958,86
201811121505_00959,64
201811121505_00960,91
201811121505_00961,85
201811121505_00962,91
201811121505_00963,79
201811121505_00964,84
201811121505_00965,90
201811121505_00966,95
201811121505_00967,89
201811121505_00968,88
201811121505_00969,94
201811121505_00970,95
201811121505_00971,86
201811121505_00972,86
201811121505_00973,87
201811121505_00974,92
201811121505_00975,88
201811121505_00976,82
201811121505_00977,90
201811121505_00978,93
201811121505_00979,79
201811121505_00980,80
201811121505_00981,89
201811121505_00982,91
201811121505_00983,95
201811121505_00984,85
201811121505_00985,86
201811121505_00986,88
201811121505_00987,7
201811121505_00988,86
201811121505_00989,81
201811121505_00990,71
201811121505_00991,92
201811121505_00992,64
201811121505_00993,89
201811121505_00994,82
201811121505_00995,88
201811121505_00996,71
201811121505_00997,90
201811121505_00998,88
201811121505_00999,71
201811121505_01000,65
201811121505_01001,91
201811121505_01002,76
201811121505_01003,92
201811121505_01004,82
201811121505_01005,41
201811121505_01006,63
201811121505_01007,85
201811121505_01008,76
201811121505_01009,84
201811121505_01010,93
201811121505_01011,64
201811121505_01012,94
201811121505_01013,86
201811121505_01014,84
201811121505_01015,93
201811121505_01016,82
201811121505_01017,95
201811121505_01018,90
201811121505_01019,67
201811121505_01020,95
201811121505_01021,89
201811121505_01022,97
201811121505_01023,81
201811121505_01024,79
201811121505_01025,45
201811121505_01026,93
201811121505_01027,25
201811121505_01028,22
201811121505_01029,87
201811121505_01030,95
201811121505_01031,93
201811121505_01032,88
201811121505_01033,89
201811121505_01034,59
201811121505_01035,97
201811121505_01036,92
201811121505_01037,75
201811121505_01038,77
201811121505_01039,79
201811121505_01040,94
201811121505_01041,91
201811121505_01042,91
201811121505_01043,78
201811121505_01044,75
201811121505_01045,48
201811121505_01046,93
201811121505_01047,81
201811121505_01048,79
201811121505_01049,88
201811121505_01050,89
201811121505_01051,28
201811121505_01052,65
201811121505_01054,95
201811121505_01055,83
201811121505_01056,77
201811121505_01057,85
201811121505_01058,90
201811121505_01059,84
201811121505_01060,85
201811121505_01061,88
201811121505_01062,94
201811121505_01063,85
201811121505_01064,88
201811121505_01065,66
